Cidade,Categoria,Nome,Rating,Endereço,Tipos,Latitude,Longitude,Total_Reviews,id_unico,Grupo_Tematico,Locais_Semelhantes_Perto,Latitude_Nova,Longitude_Nova,Endereço_Limpo,shrinkage,Rating_Bayes,Nome_Local,Avg_Polarity,Rating_Bayes_norm,Popularity_norm,Sentiment_norm,IGATP
Gondomar,restaurant,Panda Douro,4.2,"R. Infante Dom Henrique 313, 4435-289 Rio Tinto, Portugal","restaurant, food, point_of_interest, establishment",41.1694908,-8.5472067,1489,c51647d6,Serviços,0.0,41.1708963,-8.546956,"R. Infante Dom Henrique 313, 4435-289 Rio Tinto, Portugal",0.9908718615799816,4.202270081090407,,0.3556162758333243,0.7177922812663813,0.017247570397655537,0.6548083743622379,0.46328274200875824
Gondomar,restaurant,Beef Douro,4.2,"Av. Clube de Caçadores 5559, 4510-011 Jovim, Portugal","restaurant, food, point_of_interest, establishment",41.1105822,-8.534307799999999,604,18aa38ac,Serviços,0.0,41.1042445,-8.5292278,"Av. Clube de Caçadores 5559, 4510-011 Jovim, Portugal",0.9777940243409105,4.205522414660933,,0.3556162758333243,0.7191367106541593,0.006996328086087269,0.6548083743622379,0.4603138043674948
Gondomar,restaurant,Tomaz,4.3,"Av. Dr. Francisco Sá Carneiro 934, 4515-034 Covelo, Portugal","restaurant, food, point_of_interest, establishment",41.0764648,-8.469629399999999,875,88675bf3,Serviços,0.0,41.0761201,-8.4675742,"Av. Dr. Francisco Sá Carneiro 934, 4515-034 Covelo, Portugal",0.9845653805134588,4.302294980921273,Tomaz,0.4611948051948052,0.7591399511551074,0.010135409065109869,0.7356082692817387,0.501627876500652
Gondomar,restaurant,Restaurante Casa Velha D´Aldeia,4.5,"Tv. da Aldeia 125, 4510-260 São Pedro da Cova, Portugal","restaurant, food, point_of_interest, establishment",41.1548001,-8.505785,506,9063f401,Serviços,0.0,41.141871,-8.5199952,"Tv. da Aldeia 125, 4510-260 São Pedro da Cova, Portugal",0.973606773245643,4.498645776103437,Restaurante Casa Velha D´Aldeia,0.3213888888888889,0.8403062195073769,0.005861162270794963,0.6286139455782312,0.4915937757854677
Gondomar,restaurant,Café Restaurante Familiar,4.4,"São Cosme, Portugal","restaurant, food, point_of_interest, establishment",41.1288111,-8.538573099999999,230,5cc03453,Serviços,0.0,41.1398199,-8.5326269,"São Cosme, Portugal",0.9437174741024024,4.402740422987157,,0.3556162758333243,0.8006614621727641,0.0026641646685431654,0.6548083743622379,0.4860446670678483
Gondomar,restaurant,Adega Vigário,4.4,"Av. Clube de Caçadores, 4420-088 S. Cosme, Portugal","restaurant, food, point_of_interest, establishment",41.11794709999999,-8.5423254,426,11e05a98,Serviços,0.0,41.1042445,-8.5292278,"Av. Clube de Caçadores, 4420-088 S. Cosme, Portugal",0.9688049163745426,4.401518903476525,Adega Vigário,0.11632653061224488,0.8001565180481145,0.0049344962991277755,0.4716784673052894,0.42558982721751054
Gondomar,museum,House Malta - Mining Museum,4.4,"R. de Vila Verde 253, 4510-457 São Pedro da Cova, Portugal","museum, tourist_attraction, point_of_interest, establishment",41.1627293,-8.509698199999999,214,3860e6af,Turismo Cultural,0.0,41.1624407,-8.510991,"R. de Vila Verde 253, 4510-457 São Pedro da Cova, Portugal",0.9397629148059412,4.402932972362425,House Malta - Mining Museum,0.04774025974025974,0.8007410570338369,0.002478831474209728,0.4191889742910151,0.4074696209330205
Gondomar,museum,Museu Adão Soares Rei dos Congros,4.6,"Rua Adão Soares ""Rei dos Congros"", 495, 4420-606 Gondomar, Portugal","museum, tourist_attraction, point_of_interest, establishment",41.120867,-8.5347153,17,5e5f7dec,Turismo Cultural,0.0,41.119985,-8.5378493,"Rua Adão Soares ""Rei dos Congros"", 495, 4420-606 Gondomar, Portugal",0.553439303801074,4.532431113706091,Museu Adão Soares Rei dos Congros,0.5375,0.8542721918666174,0.00019691651897927744,0.7940051020408163,0.549491403475471
Gondomar,museum,Lugar do Desenho — Fundação Júlio Resende,4.5,"R. Pintor Júlio Resende 105, 4420-534 Valbom, Portugal","museum, tourist_attraction, point_of_interest, establishment",41.1269278,-8.5625308,146,70925e67,Turismo Cultural,0.0,41.1271179,-8.5625726,"R. Pintor Júlio Resende 105, 4420-534 Valbom, Portugal",0.9141167934419416,4.495593373568271,Lugar do Desenho — Fundação Júlio Resende,0.2525,0.8390444363653295,0.001691165398292618,0.5758928571428571,0.47220948630215975
Gondomar,museum,Museum of Transport and Communication,4.4,"R. Nova da Alfândega 59, 4050-387 Porto, Portugal","tourist_attraction, museum, point_of_interest, establishment",41.1432386,-8.6214684,3670,b1c8b154,Turismo Cultural,2.0,41.1426874,-8.6204702,"R. Nova da Alfândega 59, 4050-387 Porto, Portugal",0.9962763130745346,4.400181308089585,Museum of Transport and Communication,0.23748629148629147,0.7996035912009256,0.04251080145023225,0.5644027740966516,0.4688390555826031
